description,frame_colors,frame_model,id,manufacturer_name,latitude,longitude,stolen_location,url,year
1689378270,"","Orange","Fat boy",1555756,"Specialized",40.04,-105.21,"Boulder, CO 80301, US","https://bikeindex.org/bikes/1555756","2015"
1689377329,"","Black:Orange","Fat tire bike",1543163,"Northrock",,,"CA","https://bikeindex.org/bikes/1543163","2022"
1689374061,"Maroon mountain bike, used but in pretty good condition, stamp 7 pedals that are pink. ","Red","Stache 7",1555726,"Trek",47.25,-122.44,"Tacoma, WA, US","https://bikeindex.org/bikes/1555726",""
1689373709,"","Black","Cali S",1555722,"Trek",51.04,-114.16,"Calgary, T3C 2T6, CA","https://bikeindex.org/bikes/1555722",""
1689372000,"","Black","N/A",1553235,"Lectric eBikes",32.72,-117.16,"San Diego, CA, US","https://bikeindex.org/bikes/1553235","2023"
1689372000,"","Black:Green","XC27",1555744,"Northrock",39.73,-104.98,"Denver, CO 80203, US","https://bikeindex.org/bikes/1555744",""
1689370979,"","Black","Hardtail",1555687,"Cube",,,"US","https://bikeindex.org/bikes/1555687","2021"
1689368400,"Aim EX 29in","Black","Aim EX 29in",1035688,"Cube",53.55,-113.49,"Edmonton, CA","https://bikeindex.org/bikes/1035688","2021"
1689368400,"","Blue:Yellow or Gold","Scout",1555668,"Nukeproof",40.75,-74,"New York, NY 10001, US","https://bikeindex.org/bikes/1555668","2019"
1689366232,"","Silver, gray or bare metal","Square cross 1.8",1555630,"Ghost",47.63,-122.35,"Seattle, WA 98109, US","https://bikeindex.org/bikes/1555630",""
1689365951,"Repainted green.
Serial number on stay bridge.","Green","MTB",729294,"Raleigh",,,"CA","https://bikeindex.org/bikes/729294","1993"
1689365405,"","Red","Vrb2",1555623,"Trek",61.12,-149.89,"Anchorage, AK 99515, US","https://bikeindex.org/bikes/1555623","2017"
1689365405,"","Red","Vrb2",1555625,"Trek",61.12,-149.89,"Anchorage, AK 99515, US","https://bikeindex.org/bikes/1555625","2017"
1689365357,"","Silver, gray or bare metal","Matterhorn ",1555621,"Raleigh",53.61,-113.48,"Edmonton, T5E 2R1, CA","https://bikeindex.org/bikes/1555621",""
1689365357,"","Silver, gray or bare metal","Matterhorn ",1555620,"Raleigh",53.61,-113.48,"Edmonton, T5E 2R1, CA","https://bikeindex.org/bikes/1555620",""
1689364800,"T-Mobile but without the logo","Pink:Black","TCR",1555629,"Giant",34.05,-118.24,"Los Angeles, CA, US","https://bikeindex.org/bikes/1555629",""
1689362596,"","Blue","Sirrus 1.0",1555595,"Specialized",50.96,-114.09,"Calgary, T2W 0L4, CA","https://bikeindex.org/bikes/1555595","2022"
1689362100,"","Black","RadCity 5+",1555825,"Rad Power Bikes",38.93,-77.03,"Washington, DC 20010, US","https://bikeindex.org/bikes/1555825","2023"
1689357600,"","Black","Rad city 5",1555566,"Rad Power Bikes",36,-94.09,"Fayetteville, AR 72701, US","https://bikeindex.org/bikes/1555566","2021"
1689354000,"T-Mobile style (no logo)","Black:Pink","TCR",1555537,"Giant",34.07,-118.44,"Los Angeles, CA 90095, US","https://bikeindex.org/bikes/1555537",""
